,Date,Fed Reference Rate,Hike Cycle,Cut Cycle
52,11/18/1982,9.5,,1982_1983
53,11/19/1982,9,,1982_1983
54,11/20/1982,9,,1982_1983
55,11/21/1982,9,,1982_1983
56,11/22/1982,9,,1982_1983
57,11/23/1982,9,,1982_1983
58,11/24/1982,9,,1982_1983
59,11/25/1982,9,,1982_1983
60,11/26/1982,9,,1982_1983
61,11/27/1982,9,,1982_1983
62,11/28/1982,9,,1982_1983
63,11/29/1982,9,,1982_1983
64,11/30/1982,9,,1982_1983
65,12/1/1982,9,,1982_1983
66,12/2/1982,9,,1982_1983
67,12/3/1982,9,,1982_1983
68,12/4/1982,9,,1982_1983
69,12/5/1982,9,,1982_1983
70,12/6/1982,9,,1982_1983
71,12/7/1982,9,,1982_1983
72,12/8/1982,9,,1982_1983
73,12/9/1982,9,,1982_1983
74,12/10/1982,9,,1982_1983
75,12/11/1982,9,,1982_1983
76,12/12/1982,9,,1982_1983
77,12/13/1982,9,,1982_1983
78,12/14/1982,8.5,,1982_1983
79,12/15/1982,8.5,,1982_1983
80,12/16/1982,8.5,,1982_1983
81,12/17/1982,8.5,,1982_1983
82,12/18/1982,8.5,,1982_1983
83,12/19/1982,8.5,,1982_1983
84,12/20/1982,8.5,,1982_1983
85,12/21/1982,8.5,,1982_1983
86,12/22/1982,8.5,,1982_1983
87,12/23/1982,8.5,,1982_1983
88,12/24/1982,8.5,,1982_1983
89,12/25/1982,8.5,,1982_1983
90,12/26/1982,8.5,,1982_1983
91,12/27/1982,8.5,,1982_1983
92,12/28/1982,8.5,,1982_1983
93,12/29/1982,8.5,,1982_1983
94,12/30/1982,8.5,,1982_1983
95,12/31/1982,8.5,,1982_1983
96,1/1/1983,8.5,,1982_1983
97,1/2/1983,8.5,,1982_1983
98,1/3/1983,8.5,,1982_1983
99,1/4/1983,8.5,,1982_1983
100,1/5/1983,8.5,,1982_1983
101,1/6/1983,8.5,,1982_1983
102,1/7/1983,8.5,,1982_1983
103,1/8/1983,8.5,,1982_1983
104,1/9/1983,8.5,,1982_1983
105,1/10/1983,8.5,,1982_1983
106,1/11/1983,8.5,,1982_1983
107,1/12/1983,8.5,,1982_1983
108,1/13/1983,8.5,,1982_1983
109,1/14/1983,8.5,,1982_1983
110,1/15/1983,8.5,,1982_1983
111,1/16/1983,8.5,,1982_1983
112,1/17/1983,8.5,,1982_1983
113,1/18/1983,8.5,,1982_1983
114,1/19/1983,8.5,,1982_1983
115,1/20/1983,8.5,,1982_1983
116,1/21/1983,8.5,,1982_1983
117,1/22/1983,8.5,,1982_1983
118,1/23/1983,8.5,,1982_1983
119,1/24/1983,8.5,,1982_1983
120,1/25/1983,8.5,,1982_1983
121,1/26/1983,8.5,,1982_1983
122,1/27/1983,8.5,,1982_1983
123,1/28/1983,8.5,,1982_1983
124,1/29/1983,8.5,,1982_1983
125,1/30/1983,8.5,,1982_1983
126,1/31/1983,8.5,,1982_1983
127,2/1/1983,8.5,,1982_1983
128,2/2/1983,8.5,,1982_1983
129,2/3/1983,8.5,,1982_1983
130,2/4/1983,8.5,,1982_1983
131,2/5/1983,8.5,,1982_1983
132,2/6/1983,8.5,,1982_1983
133,2/7/1983,8.5,,1982_1983
134,2/8/1983,8.5,,1982_1983
135,2/9/1983,8.5,,1982_1983
136,2/10/1983,8.5,,1982_1983
137,2/11/1983,8.5,,1982_1983
138,2/12/1983,8.5,,1982_1983
139,2/13/1983,8.5,,1982_1983
140,2/14/1983,8.5,,1982_1983
141,2/15/1983,8.5,,1982_1983
142,2/16/1983,8.5,,1982_1983
143,2/17/1983,8.5,,1982_1983
144,2/18/1983,8.5,,1982_1983
145,2/19/1983,8.5,,1982_1983
146,2/20/1983,8.5,,1982_1983
147,2/21/1983,8.5,,1982_1983
148,2/22/1983,8.5,,1982_1983
149,2/23/1983,8.5,,1982_1983
150,2/24/1983,8.5,,1982_1983
151,2/25/1983,8.5,,1982_1983
152,2/26/1983,8.5,,1982_1983
153,2/27/1983,8.5,,1982_1983
154,2/28/1983,8.5,,1982_1983
155,3/1/1983,8.5,,1982_1983
156,3/2/1983,8.5,,1982_1983
157,3/3/1983,8.5,,1982_1983
158,3/4/1983,8.5,,1982_1983
159,3/5/1983,8.5,,1982_1983
160,3/6/1983,8.5,,1982_1983
161,3/7/1983,8.5,,1982_1983
162,3/8/1983,8.5,,1982_1983
163,3/9/1983,8.5,,1982_1983
164,3/10/1983,8.5,,1982_1983
165,3/11/1983,8.5,,1982_1983
166,3/12/1983,8.5,,1982_1983
167,3/13/1983,8.5,,1982_1983
168,3/14/1983,8.5,,1982_1983
169,3/15/1983,8.5,,1982_1983
170,3/16/1983,8.5,,1982_1983
171,3/17/1983,8.5,,1982_1983
172,3/18/1983,8.5,,1982_1983
173,3/19/1983,8.5,,1982_1983
174,3/20/1983,8.5,,1982_1983
175,3/21/1983,8.5,,1982_1983
176,3/22/1983,8.5,,1982_1983
177,3/23/1983,8.5,,1982_1983
178,3/24/1983,8.5,,1982_1983
179,3/25/1983,8.5,,1982_1983
180,3/26/1983,8.5,,1982_1983
181,3/27/1983,8.5,,1982_1983
182,3/28/1983,8.5,,1982_1983
183,3/29/1983,8.5,,1982_1983
184,3/30/1983,8.5,1983_1984,
185,3/31/1983,8.625,1983_1984,
186,4/1/1983,8.625,1983_1984,
187,4/2/1983,8.625,1983_1984,
188,4/3/1983,8.625,1983_1984,
189,4/4/1983,8.625,1983_1984,
190,4/5/1983,8.625,1983_1984,
191,4/6/1983,8.625,1983_1984,
192,4/7/1983,8.625,1983_1984,
193,4/8/1983,8.625,1983_1984,
194,4/9/1983,8.625,1983_1984,
195,4/10/1983,8.625,1983_1984,
196,4/11/1983,8.625,1983_1984,
197,4/12/1983,8.625,1983_1984,
198,4/13/1983,8.625,1983_1984,
199,4/14/1983,8.625,1983_1984,
200,4/15/1983,8.625,1983_1984,
201,4/16/1983,8.625,1983_1984,
202,4/17/1983,8.625,1983_1984,
203,4/18/1983,8.625,1983_1984,
204,4/19/1983,8.625,1983_1984,
205,4/20/1983,8.625,1983_1984,
206,4/21/1983,8.625,1983_1984,
207,4/22/1983,8.625,1983_1984,
208,4/23/1983,8.625,1983_1984,
209,4/24/1983,8.625,1983_1984,
210,4/25/1983,8.625,1983_1984,
211,4/26/1983,8.625,1983_1984,
212,4/27/1983,8.625,1983_1984,
213,4/28/1983,8.625,1983_1984,
214,4/29/1983,8.625,1983_1984,
215,4/30/1983,8.625,1983_1984,
216,5/1/1983,8.625,1983_1984,
217,5/2/1983,8.625,1983_1984,
218,5/3/1983,8.625,1983_1984,
219,5/4/1983,8.625,1983_1984,
220,5/5/1983,8.625,1983_1984,
221,5/6/1983,8.625,1983_1984,
222,5/7/1983,8.625,1983_1984,
223,5/8/1983,8.625,1983_1984,
224,5/9/1983,8.625,1983_1984,
225,5/10/1983,8.625,1983_1984,
226,5/11/1983,8.625,1983_1984,
227,5/12/1983,8.625,1983_1984,
228,5/13/1983,8.625,1983_1984,
229,5/14/1983,8.625,1983_1984,
230,5/15/1983,8.625,1983_1984,
231,5/16/1983,8.625,1983_1984,
232,5/17/1983,8.625,1983_1984,
233,5/18/1983,8.625,1983_1984,
234,5/19/1983,8.625,1983_1984,
235,5/20/1983,8.625,1983_1984,
236,5/21/1983,8.625,1983_1984,
237,5/22/1983,8.625,1983_1984,
238,5/23/1983,8.625,1983_1984,
239,5/24/1983,8.625,1983_1984,
240,5/25/1983,8.75,1983_1984,
241,5/26/1983,8.75,1983_1984,
242,5/27/1983,8.75,1983_1984,
243,5/28/1983,8.75,1983_1984,
244,5/29/1983,8.75,1983_1984,
245,5/30/1983,8.75,1983_1984,
246,5/31/1983,8.75,1983_1984,
247,6/1/1983,8.75,1983_1984,
248,6/2/1983,8.75,1983_1984,
249,6/3/1983,8.75,1983_1984,
250,6/4/1983,8.75,1983_1984,
251,6/5/1983,8.75,1983_1984,
252,6/6/1983,8.75,1983_1984,
253,6/7/1983,8.75,1983_1984,
254,6/8/1983,8.75,1983_1984,
255,6/9/1983,8.75,1983_1984,
256,6/10/1983,8.75,1983_1984,
257,6/11/1983,8.75,1983_1984,
258,6/12/1983,8.75,1983_1984,
259,6/13/1983,8.75,1983_1984,
260,6/14/1983,8.75,1983_1984,
261,6/15/1983,8.75,1983_1984,
262,6/16/1983,8.75,1983_1984,
263,6/17/1983,8.75,1983_1984,
264,6/18/1983,8.75,1983_1984,
265,6/19/1983,8.75,1983_1984,
266,6/20/1983,8.75,1983_1984,
267,6/21/1983,8.75,1983_1984,
268,6/22/1983,8.75,1983_1984,
269,6/23/1983,8.75,1983_1984,
270,6/24/1983,9,1983_1984,
271,6/25/1983,9,1983_1984,
272,6/26/1983,9,1983_1984,
273,6/27/1983,9,1983_1984,
274,6/28/1983,9,1983_1984,
275,6/29/1983,9,1983_1984,
276,6/30/1983,9,1983_1984,
277,7/1/1983,9,1983_1984,
278,7/2/1983,9,1983_1984,
279,7/3/1983,9,1983_1984,
280,7/4/1983,9,1983_1984,
281,7/5/1983,9,1983_1984,
282,7/6/1983,9,1983_1984,
283,7/7/1983,9,1983_1984,
284,7/8/1983,9,1983_1984,
285,7/9/1983,9,1983_1984,
286,7/10/1983,9,1983_1984,
287,7/11/1983,9,1983_1984,
288,7/12/1983,9,1983_1984,
289,7/13/1983,9,1983_1984,
290,7/14/1983,9.25,1983_1984,
291,7/15/1983,9.25,1983_1984,
292,7/16/1983,9.25,1983_1984,
293,7/17/1983,9.25,1983_1984,
294,7/18/1983,9.25,1983_1984,
295,7/19/1983,9.25,1983_1984,
296,7/20/1983,9.4375,1983_1984,
297,7/21/1983,9.4375,1983_1984,
298,7/22/1983,9.4375,1983_1984,
299,7/23/1983,9.4375,1983_1984,
300,7/24/1983,9.4375,1983_1984,
301,7/25/1983,9.4375,1983_1984,
302,7/26/1983,9.4375,1983_1984,
303,7/27/1983,9.4375,1983_1984,
304,7/28/1983,9.4375,1983_1984,
305,7/29/1983,9.4375,1983_1984,
306,7/30/1983,9.4375,1983_1984,
307,7/31/1983,9.4375,1983_1984,
308,8/1/1983,9.4375,1983_1984,
309,8/2/1983,9.4375,1983_1984,
310,8/3/1983,9.4375,1983_1984,
311,8/4/1983,9.4375,1983_1984,
312,8/5/1983,9.4375,1983_1984,
313,8/6/1983,9.4375,1983_1984,
314,8/7/1983,9.4375,1983_1984,
315,8/8/1983,9.4375,1983_1984,
316,8/9/1983,9.4375,1983_1984,
317,8/10/1983,9.4375,1983_1984,
318,8/11/1983,9.5625,1983_1984,
319,8/12/1983,9.5625,1983_1984,
320,8/13/1983,9.5625,1983_1984,
321,8/14/1983,9.5625,1983_1984,
322,8/15/1983,9.5625,1983_1984,
323,8/16/1983,9.5625,1983_1984,
324,8/17/1983,9.5,1983_1984,
325,8/18/1983,9.5,1983_1984,
326,8/19/1983,9.5,1983_1984,
327,8/20/1983,9.5,1983_1984,
328,8/21/1983,9.5,1983_1984,
329,8/22/1983,9.5,1983_1984,
330,8/23/1983,9.5,1983_1984,
331,8/24/1983,9.5,1983_1984,
332,8/25/1983,9.5,1983_1984,
333,8/26/1983,9.5,1983_1984,
334,8/27/1983,9.5,1983_1984,
335,8/28/1983,9.5,1983_1984,
336,8/29/1983,9.5,1983_1984,
337,8/30/1983,9.5,1983_1984,
338,8/31/1983,9.5,1983_1984,
339,9/1/1983,9.5,1983_1984,
340,9/2/1983,9.5,1983_1984,
341,9/3/1983,9.5,1983_1984,
342,9/4/1983,9.5,1983_1984,
343,9/5/1983,9.5,1983_1984,
344,9/6/1983,9.5,1983_1984,
345,9/7/1983,9.5,1983_1984,
346,9/8/1983,9.5,1983_1984,
347,9/9/1983,9.5,1983_1984,
348,9/10/1983,9.5,1983_1984,
349,9/11/1983,9.5,1983_1984,
350,9/12/1983,9.5,1983_1984,
351,9/13/1983,9.5,1983_1984,
352,9/14/1983,9.5,1983_1984,
353,9/15/1983,9.375,1983_1984,
354,9/16/1983,9.375,1983_1984,
355,9/17/1983,9.375,1983_1984,
356,9/18/1983,9.375,1983_1984,
357,9/19/1983,9.375,1983_1984,
358,9/20/1983,9.375,1983_1984,
359,9/21/1983,9.375,1983_1984,
360,9/22/1983,9.375,1983_1984,
361,9/23/1983,9.375,1983_1984,
362,9/24/1983,9.375,1983_1984,
363,9/25/1983,9.375,1983_1984,
364,9/26/1983,9.375,1983_1984,
365,9/27/1983,9.375,1983_1984,
366,9/28/1983,9.375,1983_1984,
367,9/29/1983,9.375,1983_1984,
368,9/30/1983,9.375,1983_1984,
369,10/1/1983,9.375,1983_1984,
370,10/2/1983,9.375,1983_1984,
371,10/3/1983,9.375,1983_1984,
372,10/4/1983,9.375,1983_1984,
373,10/5/1983,9.375,1983_1984,
374,10/6/1983,9.375,1983_1984,
375,10/7/1983,9.375,1983_1984,
376,10/8/1983,9.375,1983_1984,
377,10/9/1983,9.375,1983_1984,
378,10/10/1983,9.375,1983_1984,
379,10/11/1983,9.375,1983_1984,
380,10/12/1983,9.375,1983_1984,
381,10/13/1983,9.375,1983_1984,
382,10/14/1983,9.375,1983_1984,
383,10/15/1983,9.375,1983_1984,
384,10/16/1983,9.375,1983_1984,
385,10/17/1983,9.375,1983_1984,
386,10/18/1983,9.375,1983_1984,
387,10/19/1983,9.375,1983_1984,
388,10/20/1983,9.375,1983_1984,
389,10/21/1983,9.375,1983_1984,
390,10/22/1983,9.375,1983_1984,
391,10/23/1983,9.375,1983_1984,
392,10/24/1983,9.375,1983_1984,
393,10/25/1983,9.375,1983_1984,
394,10/26/1983,9.375,1983_1984,
395,10/27/1983,9.375,1983_1984,
396,10/28/1983,9.375,1983_1984,
397,10/29/1983,9.375,1983_1984,
398,10/30/1983,9.375,1983_1984,
399,10/31/1983,9.375,1983_1984,
400,11/1/1983,9.375,1983_1984,
401,11/2/1983,9.375,1983_1984,
402,11/3/1983,9.375,1983_1984,
403,11/4/1983,9.375,1983_1984,
404,11/5/1983,9.375,1983_1984,
405,11/6/1983,9.375,1983_1984,
406,11/7/1983,9.375,1983_1984,
407,11/8/1983,9.375,1983_1984,
408,11/9/1983,9.375,1983_1984,
409,11/10/1983,9.375,1983_1984,
410,11/11/1983,9.375,1983_1984,
411,11/12/1983,9.375,1983_1984,
412,11/13/1983,9.375,1983_1984,
413,11/14/1983,9.375,1983_1984,
414,11/15/1983,9.375,1983_1984,
415,11/16/1983,9.375,1983_1984,
416,11/17/1983,9.375,1983_1984,
417,11/18/1983,9.375,1983_1984,
418,11/19/1983,9.375,1983_1984,
419,11/20/1983,9.375,1983_1984,
420,11/21/1983,9.375,1983_1984,
421,11/22/1983,9.375,1983_1984,
422,11/23/1983,9.375,1983_1984,
423,11/24/1983,9.375,1983_1984,
424,11/25/1983,9.375,1983_1984,
425,11/26/1983,9.375,1983_1984,
426,11/27/1983,9.375,1983_1984,
427,11/28/1983,9.375,1983_1984,
428,11/29/1983,9.375,1983_1984,
429,11/30/1983,9.375,1983_1984,
430,12/1/1983,9.375,1983_1984,
431,12/2/1983,9.375,1983_1984,
432,12/3/1983,9.375,1983_1984,
433,12/4/1983,9.375,1983_1984,
434,12/5/1983,9.375,1983_1984,
435,12/6/1983,9.375,1983_1984,
436,12/7/1983,9.375,1983_1984,
437,12/8/1983,9.375,1983_1984,
438,12/9/1983,9.375,1983_1984,
439,12/10/1983,9.375,1983_1984,
440,12/11/1983,9.375,1983_1984,
441,12/12/1983,9.375,1983_1984,
442,12/13/1983,9.375,1983_1984,
443,12/14/1983,9.375,1983_1984,
444,12/15/1983,9.375,1983_1984,
445,12/16/1983,9.375,1983_1984,
446,12/17/1983,9.375,1983_1984,
447,12/18/1983,9.375,1983_1984,
448,12/19/1983,9.375,1983_1984,
449,12/20/1983,9.375,1983_1984,
450,12/21/1983,9.375,1983_1984,
451,12/22/1983,9.375,1983_1984,
452,12/23/1983,9.375,1983_1984,
453,12/24/1983,9.375,1983_1984,
454,12/25/1983,9.375,1983_1984,
455,12/26/1983,9.375,1983_1984,
456,12/27/1983,9.375,1983_1984,
457,12/28/1983,9.375,1983_1984,
458,12/29/1983,9.375,1983_1984,
459,12/30/1983,9.375,1983_1984,
460,12/31/1983,9.375,1983_1984,
461,1/1/1984,9.375,1983_1984,
462,1/2/1984,9.375,1983_1984,
463,1/3/1984,9.375,1983_1984,
464,1/4/1984,9.375,1983_1984,
465,1/5/1984,9.375,1983_1984,
466,1/6/1984,9.375,1983_1984,
467,1/7/1984,9.375,1983_1984,
468,1/8/1984,9.375,1983_1984,
469,1/9/1984,9.375,1983_1984,
470,1/10/1984,9.375,1983_1984,
471,1/11/1984,9.375,1983_1984,
472,1/12/1984,9.375,1983_1984,
473,1/13/1984,9.375,1983_1984,
474,1/14/1984,9.375,1983_1984,
475,1/15/1984,9.375,1983_1984,
476,1/16/1984,9.375,1983_1984,
477,1/17/1984,9.375,1983_1984,
478,1/18/1984,9.375,1983_1984,
479,1/19/1984,9.375,1983_1984,
480,1/20/1984,9.375,1983_1984,
481,1/21/1984,9.375,1983_1984,
482,1/22/1984,9.375,1983_1984,
483,1/23/1984,9.375,1983_1984,
484,1/24/1984,9.375,1983_1984,
485,1/25/1984,9.375,1983_1984,
486,1/26/1984,9.375,1983_1984,
487,1/27/1984,9.375,1983_1984,
488,1/28/1984,9.375,1983_1984,
489,1/29/1984,9.375,1983_1984,
490,1/30/1984,9.375,1983_1984,
491,1/31/1984,9.375,1983_1984,
492,2/1/1984,9.375,1983_1984,
493,2/2/1984,9.375,1983_1984,
494,2/3/1984,9.375,1983_1984,
495,2/4/1984,9.375,1983_1984,
496,2/5/1984,9.375,1983_1984,
497,2/6/1984,9.375,1983_1984,
498,2/7/1984,9.375,1983_1984,
499,2/8/1984,9.375,1983_1984,
500,2/9/1984,9.375,1983_1984,
501,2/10/1984,9.375,1983_1984,
502,2/11/1984,9.375,1983_1984,
503,2/12/1984,9.375,1983_1984,
504,2/13/1984,9.375,1983_1984,
505,2/14/1984,9.375,1983_1984,
506,2/15/1984,9.375,1983_1984,
507,2/16/1984,9.375,1983_1984,
508,2/17/1984,9.375,1983_1984,
509,2/18/1984,9.375,1983_1984,
510,2/19/1984,9.375,1983_1984,
511,2/20/1984,9.375,1983_1984,
512,2/21/1984,9.375,1983_1984,
513,2/22/1984,9.375,1983_1984,
514,2/23/1984,9.375,1983_1984,
515,2/24/1984,9.375,1983_1984,
516,2/25/1984,9.375,1983_1984,
517,2/26/1984,9.375,1983_1984,
518,2/27/1984,9.375,1983_1984,
519,2/28/1984,9.375,1983_1984,
520,2/29/1984,9.375,1983_1984,
521,3/1/1984,9.375,1983_1984,
522,3/2/1984,9.375,1983_1984,
523,3/3/1984,9.375,1983_1984,
524,3/4/1984,9.375,1983_1984,
525,3/5/1984,9.375,1983_1984,
526,3/6/1984,9.375,1983_1984,
527,3/7/1984,9.375,1983_1984,
528,3/8/1984,9.375,1983_1984,
529,3/9/1984,9.375,1983_1984,
530,3/10/1984,9.375,1983_1984,
531,3/11/1984,9.375,1983_1984,
532,3/12/1984,9.375,1983_1984,
533,3/13/1984,9.375,1983_1984,
534,3/14/1984,9.375,1983_1984,
535,3/15/1984,9.375,1983_1984,
536,3/16/1984,9.375,1983_1984,
537,3/17/1984,9.375,1983_1984,
538,3/18/1984,9.375,1983_1984,
539,3/19/1984,9.375,1983_1984,
540,3/20/1984,9.375,1983_1984,
541,3/21/1984,9.375,1983_1984,
542,3/22/1984,9.375,1983_1984,
543,3/23/1984,9.375,1983_1984,
544,3/24/1984,9.375,1983_1984,
545,3/25/1984,9.375,1983_1984,
546,3/26/1984,9.375,1983_1984,
547,3/27/1984,9.375,1983_1984,
548,3/28/1984,9.375,1983_1984,
549,3/29/1984,10.5,1983_1984,
550,3/30/1984,10.5,1983_1984,
551,3/31/1984,10.5,1983_1984,
552,4/1/1984,10.5,1983_1984,
553,4/2/1984,10.5,1983_1984,
554,4/3/1984,10.5,1983_1984,
555,4/4/1984,10.5,1983_1984,
556,4/5/1984,10.5,1983_1984,
557,4/6/1984,10.5,1983_1984,
558,4/7/1984,10.5,1983_1984,
559,4/8/1984,10.5,1983_1984,
560,4/9/1984,10.5,1983_1984,
561,4/10/1984,10.5,1983_1984,
562,4/11/1984,10.5,1983_1984,
563,4/12/1984,10.5,1983_1984,
564,4/13/1984,10.5,1983_1984,
565,4/14/1984,10.5,1983_1984,
566,4/15/1984,10.5,1983_1984,
567,4/16/1984,10.5,1983_1984,
568,4/17/1984,10.5,1983_1984,
569,4/18/1984,10.5,1983_1984,
570,4/19/1984,10.5,1983_1984,
571,4/20/1984,10.5,1983_1984,
572,4/21/1984,10.5,1983_1984,
573,4/22/1984,10.5,1983_1984,
574,4/23/1984,10.5,1983_1984,
575,4/24/1984,10.5,1983_1984,
576,4/25/1984,10.5,1983_1984,
577,4/26/1984,10.5,1983_1984,
578,4/27/1984,10.5,1983_1984,
579,4/28/1984,10.5,1983_1984,
580,4/29/1984,10.5,1983_1984,
581,4/30/1984,10.5,1983_1984,
582,5/1/1984,10.5,1983_1984,
583,5/2/1984,10.5,1983_1984,
584,5/3/1984,10.5,1983_1984,
585,5/4/1984,10.5,1983_1984,
586,5/5/1984,10.5,1983_1984,
587,5/6/1984,10.5,1983_1984,
588,5/7/1984,10.5,1983_1984,
589,5/8/1984,10.5,1983_1984,
590,5/9/1984,10.5,1983_1984,
591,5/10/1984,10.5,1983_1984,
592,5/11/1984,10.5,1983_1984,
593,5/12/1984,10.5,1983_1984,
594,5/13/1984,10.5,1983_1984,
595,5/14/1984,10.5,1983_1984,
596,5/15/1984,10.5,1983_1984,
597,5/16/1984,10.5,1983_1984,
598,5/17/1984,10.5,1983_1984,
599,5/18/1984,10.5,1983_1984,
600,5/19/1984,10.5,1983_1984,
601,5/20/1984,10.5,1983_1984,
602,5/21/1984,10.5,1983_1984,
603,5/22/1984,10.5,1983_1984,
604,5/23/1984,10.5,1983_1984,
605,5/24/1984,10.5,1983_1984,
606,5/25/1984,10.5,1983_1984,
607,5/26/1984,10.5,1983_1984,
608,5/27/1984,10.5,1983_1984,
609,5/28/1984,10.5,1983_1984,
610,5/29/1984,10.5,1983_1984,
611,5/30/1984,10.5,1983_1984,
612,5/31/1984,10.5,1983_1984,
613,6/1/1984,10.5,1983_1984,
614,6/2/1984,10.5,1983_1984,
615,6/3/1984,10.5,1983_1984,
616,6/4/1984,10.5,1983_1984,
617,6/5/1984,10.5,1983_1984,
618,6/6/1984,10.5,1983_1984,
619,6/7/1984,10.5,1983_1984,
620,6/8/1984,10.5,1983_1984,
621,6/9/1984,10.5,1983_1984,
622,6/10/1984,10.5,1983_1984,
623,6/11/1984,10.5,1983_1984,
624,6/12/1984,10.5,1983_1984,
625,6/13/1984,10.5,1983_1984,
626,6/14/1984,10.5,1983_1984,
627,6/15/1984,10.5,1983_1984,
628,6/16/1984,10.5,1983_1984,
629,6/17/1984,10.5,1983_1984,
630,6/18/1984,10.5,1983_1984,
631,6/19/1984,10.5,1983_1984,
632,6/20/1984,10.5,1983_1984,
633,6/21/1984,10.5,1983_1984,
634,6/22/1984,10.5,1983_1984,
635,6/23/1984,10.5,1983_1984,
636,6/24/1984,10.5,1983_1984,
637,6/25/1984,10.5,1983_1984,
638,6/26/1984,10.5,1983_1984,
639,6/27/1984,10.5,1983_1984,
640,6/28/1984,10.5,1983_1984,
641,6/29/1984,10.5,1983_1984,
642,6/30/1984,10.5,1983_1984,
643,7/1/1984,10.5,1983_1984,
644,7/2/1984,10.5,1983_1984,
645,7/3/1984,10.5,1983_1984,
646,7/4/1984,10.5,1983_1984,
647,7/5/1984,11,1983_1984,
648,7/6/1984,11,1983_1984,
649,7/7/1984,11,1983_1984,
650,7/8/1984,11,1983_1984,
651,7/9/1984,11,1983_1984,
652,7/10/1984,11,1983_1984,
653,7/11/1984,11,1983_1984,
654,7/12/1984,11,1983_1984,
655,7/13/1984,11,1983_1984,
656,7/14/1984,11,1983_1984,
657,7/15/1984,11,1983_1984,
658,7/16/1984,11,1983_1984,
659,7/17/1984,11,1983_1984,
660,7/18/1984,11,1983_1984,
661,7/19/1984,11.25,1983_1984,
662,7/20/1984,11.25,1983_1984,
663,7/21/1984,11.25,1983_1984,
664,7/22/1984,11.25,1983_1984,
665,7/23/1984,11.25,1983_1984,
666,7/24/1984,11.25,1983_1984,
667,7/25/1984,11.25,1983_1984,
668,7/26/1984,11.25,1983_1984,
669,7/27/1984,11.25,1983_1984,
670,7/28/1984,11.25,1983_1984,
671,7/29/1984,11.25,1983_1984,
672,7/30/1984,11.25,1983_1984,
673,7/31/1984,11.25,1983_1984,
674,8/1/1984,11.25,1983_1984,
675,8/2/1984,11.25,1983_1984,
676,8/3/1984,11.25,1983_1984,
677,8/4/1984,11.25,1983_1984,
678,8/5/1984,11.25,1983_1984,
679,8/6/1984,11.25,1983_1984,
680,8/7/1984,11.25,1983_1984,
681,8/8/1984,11.25,1983_1984,
682,8/9/1984,11.5,1983_1984,
683,8/10/1984,11.5,1983_1984,
684,8/11/1984,11.5,1983_1984,
685,8/12/1984,11.5,1983_1984,
686,8/13/1984,11.5,1983_1984,
687,8/14/1984,11.5,1983_1984,
688,8/15/1984,11.5,1983_1984,
689,8/16/1984,11.5,1983_1984,
690,8/17/1984,11.5,1983_1984,
691,8/18/1984,11.5,1983_1984,
692,8/19/1984,11.5,1983_1984,
693,8/20/1984,11.5,1983_1984,
694,8/21/1984,11.5,1983_1984,
695,8/22/1984,11.5,1983_1984,
696,8/23/1984,11.5,1983_1984,
697,8/24/1984,11.5,1983_1984,
698,8/25/1984,11.5,1983_1984,
699,8/26/1984,11.5,1983_1984,
700,8/27/1984,11.5,1983_1984,
701,8/28/1984,11.5,1983_1984,
